CustomerID,Contract,"Payment Method","Tenure Months","Total Revenue",Gender,Age,"Internet Type","Customer Status","Churn Category"
0618-XWMSS,Month-to-month,"Bank transfer (automatic)",28,3308.39,Male,60,"Fiber Optic",Churned,Price
2565-JSLRY,Month-to-month,"Mailed check",1,44.31,Male,21,None,Churned,Price
6689-KXGBO,Month-to-month,"Electronic check",1,81.51,Female,36,DSL,Churned,Dissatisfaction
6615-NGGZJ,Month-to-month,"Electronic check",14,1933.13,Male,56,"Fiber Optic",Churned,Dissatisfaction
4255-DDUOU,Month-to-month,"Mailed check",1,55.07,Female,47,None,Churned,Price
2984-MIIZL,Month-to-month,"Bank transfer (automatic)",4,350.94,Male,51,"Fiber Optic",Churned,Dissatisfaction
5590-YRFJT,Month-to-month,"Electronic check",20,482.8,Female,44,DSL,Churned,Other
3677-TNKIO,Month-to-month,"Credit card (automatic)",14,1421.5,Female,27,"Fiber Optic",Churned,Other
3329-WDIOK,Month-to-month,"Electronic check",3,155.35,Female,56,Cable,Churned,Dissatisfaction
2873-ZLIWT,Month-to-month,"Electronic check",40,3384.25,Female,64,"Fiber Optic",Churned,Competitor
3415-TAILE,Month-to-month,"Mailed check",2,188.89,Female,21,DSL,Churned,Competitor
1915-IOFGU,Month-to-month,"Electronic check",1,111.89,Female,53,"Fiber Optic",Churned,Competitor
3045-XETSH,Month-to-month,"Electronic check",10,1386.05,Female,34,"Fiber Optic",Churned,Competitor
7239-HZZCX,Month-to-month,"Mailed check",1,49.08,Male,21,None,Churned,Competitor
7683-CBDKJ,Month-to-month,"Electronic check",14,1576,Male,42,Cable,Churned,Competitor
0628-CNQRM,"One year","Bank transfer (automatic)",22,1979.65,Male,49,Cable,Churned,Other
7665-TOALD,Month-to-month,"Electronic check",1,83.79,Female,25,"Fiber Optic",Churned,Competitor
0112-QWPNC,"One year","Electronic check",49,5997.3,Male,61,Cable,Churned,Competitor
2777-PHDEI,Month-to-month,"Electronic check",1,117.46,Female,20,"Fiber Optic",Churned,Competitor
1196-AMORA,Month-to-month,"Electronic check",7,786.49,Male,63,"Fiber Optic",Churned,Competitor
4282-YMKNA,Month-to-month,"Electronic check",9,854.92,Female,55,"Fiber Optic",Churned,Competitor
5356-RHIPP,Month-to-month,"Mailed check",1,65.69,Male,38,None,Churned,Competitor
0746-JTRFU,Month-to-month,"Electronic check",2,56.35,Male,22,Cable,Churned,Dissatisfaction
4628-CTTLA,Month-to-month,"Electronic check",57,2191.45,Male,23,DSL,Churned,Dissatisfaction
2876-VBBBL,Month-to-month,"Mailed check",1,30.96,Female,64,None,Churned,Attitude
6834-NXDCA,Month-to-month,"Electronic check",13,300.8,Female,30,DSL,Churned,Dissatisfaction
5597-GLBUC,Month-to-month,"Electronic check",1,108.42,Female,48,"Fiber Optic",Churned,Price
2748-MYRVK,"One year","Bank transfer (automatic)",63,6664.94,Female,22,"Fiber Optic",Churned,Price
4822-YCXMX,Month-to-month,"Electronic check",25,2251.2,Male,64,"Fiber Optic",Churned,Price
9821-POOTN,Month-to-month,"Electronic check",35,4272.65,Male,48,"Fiber Optic",Churned,Price
6559-ILWKJ,"Two year","Electronic check",71,3615.25,Male,44,Cable,Churned,Dissatisfaction
4229-CZMLL,Month-to-month,"Electronic check",6,507.72,Male,49,"Fiber Optic",Churned,Dissatisfaction
3663-MITLP,Month-to-month,"Electronic check",15,1709.55,Female,43,"Fiber Optic",Churned,Dissatisfaction
9025-ZRPVR,Month-to-month,"Mailed check",9,633.26,Male,59,None,Churned,Attitude
3285-UCQVC,Month-to-month,"Credit card (automatic)",37,973.55,Female,31,DSL,Churned,Other
3737-GCSPV,Month-to-month,"Credit card (automatic)",11,1517.73,Female,60,"Fiber Optic",Churned,Competitor
4088-YLDSU,"One year","Electronic check",55,6326.6,Male,21,"Fiber Optic",Churned,Competitor
5797-APWZC,Month-to-month,"Electronic check",1,122.28,Female,41,"Fiber Optic",Churned,Competitor
3683-QKIUE,Month-to-month,"Bank transfer (automatic)",6,419.51,Female,51,DSL,Churned,Competitor
4228-ZGYUW,Month-to-month,"Electronic check",4,447.06,Male,42,"Fiber Optic",Churned,Competitor
3519-ZKXGG,Month-to-month,"Electronic check",3,389.62,Female,61,"Fiber Optic",Churned,Competitor
6416-TVAIH,Month-to-month,"Electronic check",1,99.12,Male,39,"Fiber Optic",Churned,Competitor
5108-ADXWO,Month-to-month,"Electronic check",11,1219.43,Male,30,"Fiber Optic",Churned,Competitor
3066-RRJIO,Month-to-month,"Mailed check",1,82.99,Female,29,"Fiber Optic",Churned,Competitor
6715-OFDBP,Month-to-month,"Electronic check",5,417.7,Male,52,DSL,Churned,Price
1567-DSCIC,Month-to-month,"Electronic check",8,964.77,Male,59,"Fiber Optic",Churned,Dissatisfaction
2150-UWTFY,Month-to-month,"Mailed check",22,2447.61,Female,21,DSL,Churned,Dissatisfaction
2683-BPJSO,Month-to-month,"Electronic check",29,3289.83,Male,37,"Fiber Optic",Churned,Dissatisfaction
2157-MXBJS,"One year","Mailed check",13,1525.31,Male,20,Cable,Churned,Dissatisfaction
1087-UDSIH,Month-to-month,"Mailed check",3,99.59,Female,38,None,Churned,Attitude
5445-PZWGX,"One year","Electronic check",62,7140.21,Male,63,"Fiber Optic",Churned,Price
9170-CCKOU,Month-to-month,"Credit card (automatic)",17,1659.17,Male,62,"Fiber Optic",Churned,Dissatisfaction
1043-YCUTE,"Two year","Credit card (automatic)",56,2066.35,Male,19,None,Churned,Dissatisfaction
3814-MLAXC,Month-to-month,"Credit card (automatic)",31,2919.68,Female,58,"Fiber Optic",Churned,Dissatisfaction
1226-UDFZR,Month-to-month,"Mailed check",2,157.26,Female,26,Cable,Churned,Dissatisfaction
5442-UTCVD,Month-to-month,"Electronic check",3,388.21,Male,53,"Fiber Optic",Churned,Attitude
7734-DBOAI,Month-to-month,"Electronic check",1,50.1,Female,42,DSL,Churned,Attitude
2114-MGINA,Month-to-month,"Mailed check",14,1273.3,Female,57,"Fiber Optic",Churned,Attitude
4489-SNOJF,Month-to-month,"Electronic check",35,3453,Female,28,DSL,Churned,Other
2187-LZGPL,Month-to-month,"Credit card (automatic)",7,293.3,Female,36,DSL,Churned,Attitude
9019-QVLZD,Month-to-month,"Electronic check",1,121.68,Female,58,"Fiber Optic",Churned,Competitor
3707-LRWZD,"One year","Electronic check",32,4070.17,Female,44,"Fiber Optic",Churned,Other
1455-ESIQH,Month-to-month,"Electronic check",1,105.16,Male,44,"Fiber Optic",Churned,Other
2979-SXESE,Month-to-month,"Electronic check",17,2045.63,Female,57,Cable,Churned,Other
4013-TLDHQ,Month-to-month,"Electronic check",19,1875.89,Male,59,"Fiber Optic",Churned,Competitor
6121-VZNQB,Month-to-month,"Mailed check",1,53.89,Female,35,None,Churned,Competitor
6996-KNSML,Month-to-month,"Electronic check",1,110.15,Female,26,"Fiber Optic",Churned,Competitor
2592-SEIFQ,Month-to-month,"Electronic check",3,66.95,Male,36,DSL,Churned,Competitor
8642-GVWRF,Month-to-month,"Bank transfer (automatic)",2,222.72,Female,25,"Fiber Optic",Churned,Competitor
3400-ESFUW,"Two year","Bank transfer (automatic)",55,3590.4,Male,28,DSL,Churned,Competitor
2057-ZBLPD,Month-to-month,"Electronic check",21,2695.32,Female,50,"Fiber Optic",Churned,Competitor
5502-RLUYV,Month-to-month,"Electronic check",69,10013.7,Female,42,"Fiber Optic",Churned,Competitor
9039-RBEEE,Month-to-month,"Credit card (automatic)",39,1880.85,Male,27,Cable,Churned,Price
8417-FMLZI,Month-to-month,"Credit card (automatic)",6,639.01,Male,47,"Fiber Optic",Churned,Dissatisfaction
0515-YPMCW,Month-to-month,"Mailed check",1,123.32,Male,42,"Fiber Optic",Churned,Competitor
0378-XSZPU,"One year","Credit card (automatic)",58,4562.56,Male,31,Cable,Churned,Dissatisfaction
4729-XKASR,Month-to-month,"Electronic check",1,24.75,Male,56,DSL,Churned,Competitor
5449-FIBXJ,Month-to-month,"Electronic check",19,2545.46,Male,34,"Fiber Optic",Churned,Price
9837-BMCLM,Month-to-month,"Electronic check",3,337.69,Male,39,"Fiber Optic",Churned,Price
0137-UDEUO,Month-to-month,"Mailed check",3,141,Female,24,None,Churned,Price
4925-LMHOK,Month-to-month,"Credit card (automatic)",15,1161.55,Male,29,DSL,Churned,Dissatisfaction
1455-UGQVH,Month-to-month,"Electronic check",10,1048.65,Male,35,"Fiber Optic",Churned,Dissatisfaction
8280-MQRQN,Month-to-month,"Mailed check",1,74.15,Female,39,Cable,Churned,Dissatisfaction
2037-SGXHH,Month-to-month,"Electronic check",38,5512.9,Male,25,"Fiber Optic",Churned,Other
3178-FESZO,Month-to-month,"Credit card (automatic)",1,120.48,Female,45,"Fiber Optic",Churned,Other
6087-MVHJH,Month-to-month,"Electronic check",16,1846.9,Female,44,"Fiber Optic",Churned,Other
4603-JANFB,Month-to-month,"Electronic check",1,81.98,Male,51,"Fiber Optic",Churned,Competitor
3018-TFTSU,Month-to-month,"Bank transfer (automatic)",12,1079.16,Male,44,"Fiber Optic",Churned,Dissatisfaction
4806-KEXQR,Month-to-month,"Electronic check",4,496.54,Male,27,"Fiber Optic",Churned,Competitor
7083-YNSKY,Month-to-month,"Credit card (automatic)",15,1087.2,Female,22,None,Churned,Attitude
7434-SHXLS,Month-to-month,"Mailed check",1,36.63,Female,21,None,Churned,Competitor
7908-QCBCA,Month-to-month,"Mailed check",1,112.86,Female,47,"Fiber Optic",Churned,Competitor
6711-FLDFB,Month-to-month,"Electronic check",7,868.68,Female,62,"Fiber Optic",Churned,Competitor
4702-IOQDC,Month-to-month,"Electronic check",1,116.27,Female,58,"Fiber Optic",Churned,Competitor
6178-KFNHS,Month-to-month,"Electronic check",12,1338.85,Female,34,"Fiber Optic",Churned,Competitor
1264-BYWMS,Month-to-month,"Electronic check",55,7889.85,Male,40,"Fiber Optic",Churned,Competitor
9658-WYUFB,Month-to-month,"Electronic check",17,1988.44,Female,57,"Fiber Optic",Churned,Competitor
2013-SGDXK,Month-to-month,"Electronic check",1,95.93,Female,27,"Fiber Optic",Churned,Competitor
3506-LCJDC,Month-to-month,"Bank transfer (automatic)",1,27.98,Male,52,None,Churned,Price
3934-HXCFZ,Month-to-month,"Electronic check",23,2628,Male,33,"Fiber Optic",Churned,Dissatisfaction
7666-WKRON,"Two year","Electronic check",39,4155.1,Female,39,"Fiber Optic",Churned,Dissatisfaction
4910-AQFFX,Month-to-month,"Bank transfer (automatic)",9,956.28,Male,30,Cable,Churned,Dissatisfaction
2154-KVJFF,Month-to-month,"Electronic check",15,1754.3,Female,42,"Fiber Optic",Churned,Dissatisfaction
9647-ERGBE,Month-to-month,"Electronic check",30,4238.35,Female,64,"Fiber Optic",Churned,Competitor
3428-XZMAZ,Month-to-month,"Electronic check",1,115.21,Male,64,"Fiber Optic",Churned,Price
0378-TOVMS,Month-to-month,"Electronic check",3,304,Female,20,"Fiber Optic",Churned,Competitor
4355-HBJHH,"Two year","Electronic check",67,8158.99,Male,49,DSL,Churned,Price
0318-QUUOB,Month-to-month,"Electronic check",1,124.22,Male,25,"Fiber Optic",Churned,Competitor
5520-FVEWJ,Month-to-month,"Electronic check",12,1404.46,Female,28,"Fiber Optic",Churned,Competitor
5572-ZDXHY,Month-to-month,"Mailed check",22,2495.19,Female,25,"Fiber Optic",Churned,Competitor
3750-CKVKH,Month-to-month,"Electronic check",2,140.15,Male,58,"Fiber Optic",Churned,Other
4547-KQRTM,Month-to-month,"Bank transfer (automatic)",10,1327.7,Female,60,"Fiber Optic",Churned,Competitor
4877-EVATK,Month-to-month,"Mailed check",1,66.77,Male,30,None,Churned,Attitude
7639-SUPCW,Month-to-month,"Credit card (automatic)",22,1161.5,Female,32,DSL,Churned,Competitor
4658-HCOHW,Month-to-month,"Electronic check",21,2460.22,Female,52,"Fiber Optic",Churned,Competitor
3440-JPSCL,Month-to-month,"Mailed check",6,578.61,Female,26,"Fiber Optic",Churned,Competitor
2889-FPWRM,"One year","Bank transfer (automatic)",72,11195.44,Male,31,"Fiber Optic",Churned,Competitor
4290-BSXUX,Month-to-month,"Bank transfer (automatic)",3,381.56,Male,33,"Fiber Optic",Churned,Competitor
0325-XBFAC,Month-to-month,"Electronic check",8,976.22,Male,44,"Fiber Optic",Churned,Competitor
2462-XIIJB,Month-to-month,"Electronic check",5,468.95,Male,33,"Fiber Optic",Churned,Competitor
4760-XOHVN,Month-to-month,"Mailed check",1,48.18,Female,54,None,Churned,Competitor
7817-BOQPW,Month-to-month,"Electronic check",2,249.04,Female,32,"Fiber Optic",Churned,Competitor
1853-UDXBW,Month-to-month,"Electronic check",1,108.8,Male,38,"Fiber Optic",Churned,Price
5458-CQJTA,"Two year","Bank transfer (automatic)",65,7450.7,Male,56,DSL,Churned,Dissatisfaction
5219-YIPTK,Month-to-month,"Electronic check",33,3783.16,Female,46,"Fiber Optic",Churned,Dissatisfaction
3540-RZJYU,Month-to-month,"Electronic check",15,1670.65,Female,21,"Fiber Optic",Churned,Dissatisfaction
2091-MJTFX,Month-to-month,"Credit card (automatic)",30,1561.5,Female,57,DSL,Churned,Dissatisfaction
0883-EIBTI,Month-to-month,"Mailed check",2,87.59,Female,23,None,Churned,Dissatisfaction
7571-YXDAD,Month-to-month,"Credit card (automatic)",2,223.71,Female,37,"Fiber Optic",Churned,Price
3393-FMZPV,Month-to-month,"Electronic check",25,3293.75,Female,59,"Fiber Optic",Churned,Price
7486-KSRVI,"One year","Electronic check",43,6044.46,Male,56,"Fiber Optic",Churned,Dissatisfaction
8443-WVPSS,Month-to-month,"Electronic check",10,1423.7,Male,58,"Fiber Optic",Churned,Dissatisfaction
3006-XIMLN,Month-to-month,"Bank transfer (automatic)",2,279.58,Female,34,"Fiber Optic",Churned,Dissatisfaction
6305-YLBMM,"One year","Bank transfer (automatic)",69,7435.88,Male,50,"Fiber Optic",Churned,Attitude
3647-GMGDH,Month-to-month,"Credit card (automatic)",22,2746.5,Male,52,"Fiber Optic",Churned,Attitude
6595-COKXZ,Month-to-month,"Mailed check",1,92.76,Female,63,Cable,Churned,Attitude
0362-ZBZWJ,Month-to-month,"Electronic check",36,3954.96,Male,46,"Fiber Optic",Churned,Attitude
4211-MMAZN,Month-to-month,"Mailed check",1,43.41,Male,41,None,Churned,Attitude
4274-OWWYO,Month-to-month,"Electronic check",1,79.15,Male,56,"Fiber Optic",Churned,Other
1541-ETJZO,Month-to-month,"Mailed check",1,119.88,Male,58,DSL,Churned,Other
4106-HADHQ,"One year","Credit card (automatic)",39,4575.25,Male,42,DSL,Churned,Other
2369-UAPKZ,Month-to-month,"Mailed check",5,736.35,Male,43,"Fiber Optic",Churned,Other
0637-KVDLV,Month-to-month,"Electronic check",2,196.89,Male,30,"Fiber Optic",Churned,Other
6633-MPWBS,Month-to-month,"Electronic check",5,253.45,Male,47,DSL,Churned,Competitor
8785-EPNCG,Month-to-month,"Credit card (automatic)",11,585.21,Male,42,None,Churned,Competitor
5729-KLZAR,Month-to-month,"Electronic check",4,519.87,Female,22,"Fiber Optic",Churned,Competitor
1582-RAFML,Month-to-month,"Mailed check",1,83.73,Male,26,Cable,Churned,Competitor
8740-CRYFY,Month-to-month,"Electronic check",1,102.91,Male,62,"Fiber Optic",Churned,Competitor
2962-XPMCQ,Month-to-month,"Electronic check",2,111.44,Male,56,DSL,Churned,Competitor
1678-FYZOW,Month-to-month,"Electronic check",3,384.45,Female,28,"Fiber Optic",Churned,Competitor
8627-EHGIP,"One year","Mailed check",44,2375.4,Male,38,Cable,Churned,Competitor
5480-TBGPH,Month-to-month,"Credit card (automatic)",24,3510.39,Female,63,"Fiber Optic",Churned,Competitor
8854-CCVSQ,Month-to-month,"Electronic check",18,2181.56,Male,58,"Fiber Optic",Churned,Competitor
0511-JTEOY,Month-to-month,"Mailed check",1,81.29,Female,41,"Fiber Optic",Churned,Competitor
6532-YLWSI,"One year","Bank transfer (automatic)",53,3027.85,Female,25,None,Churned,Price
5175-AOBHI,Month-to-month,"Mailed check",4,253.88,Female,48,Cable,Churned,Dissatisfaction
5174-RNGBH,Month-to-month,"Mailed check",9,853.84,Female,27,Cable,Churned,Dissatisfaction
7270-BDIOA,Month-to-month,"Electronic check",22,2261.98,Female,60,"Fiber Optic",Churned,Dissatisfaction
9565-JSNFM,"One year","Bank transfer (automatic)",38,3878.58,Male,39,"Fiber Optic",Churned,Price
0607-DAAHE,"Two year","Bank transfer (automatic)",53,2441.48,Male,62,None,Churned,Price
9732-KPKBW,Month-to-month,"Electronic check",1,85.11,Male,49,DSL,Churned,Price
9560-ARGQJ,Month-to-month,"Electronic check",16,1518.87,Female,40,"Fiber Optic",Churned,Dissatisfaction
5134-IKDAY,Month-to-month,"Electronic check",1,80.88,Female,34,"Fiber Optic",Churned,Dissatisfaction
5380-AFSSK,Month-to-month,"Mailed check",5,719.1,Female,44,"Fiber Optic",Churned,Other
8714-EUHJO,Month-to-month,"Electronic check",31,4194.22,Female,39,Cable,Churned,Dissatisfaction
3721-CNEYS,Month-to-month,"Electronic check",2,168.61,Female,45,"Fiber Optic",Churned,Dissatisfaction
2568-OIADY,Month-to-month,"Electronic check",37,5104.73,Female,26,"Fiber Optic",Churned,Competitor
1193-RTSLK,Month-to-month,"Credit card (automatic)",38,4608.44,Female,26,"Fiber Optic",Churned,Competitor
5923-GXUOC,Month-to-month,"Electronic check",10,1165.25,Male,37,"Fiber Optic",Churned,Competitor
4432-ADRLB,Month-to-month,"Mailed check",2,134.7,Male,46,DSL,Churned,Competitor
8993-PHFWD,Month-to-month,"Electronic check",3,58.9,Female,62,DSL,Churned,Competitor
1565-RHDJD,Month-to-month,"Bank transfer (automatic)",4,500.43,Female,21,"Fiber Optic",Churned,Competitor
3765-JXVKY,Month-to-month,"Electronic check",1,118.81,Female,23,"Fiber Optic",Churned,Competitor
7330-WZLNC,Month-to-month,"Electronic check",5,462.95,Female,25,"Fiber Optic",Churned,Competitor
6635-MYYYZ,"One year","Bank transfer (automatic)",30,3840.7,Female,59,Cable,Churned,Competitor
5378-IKEEG,Month-to-month,"Electronic check",1,35.75,Female,47,Cable,Churned,Price
6413-XKKPU,Month-to-month,"Electronic check",17,1865.68,Male,54,"Fiber Optic",Churned,Dissatisfaction
1449-XQEMT,Month-to-month,"Mailed check",3,103.51,Male,33,None,Churned,Price
2626-URJFX,Month-to-month,"Electronic check",4,259.92,Male,55,DSL,Churned,Dissatisfaction
2612-RRIDN,Month-to-month,"Electronic check",4,477.33,Male,25,"Fiber Optic",Churned,Dissatisfaction
4735-ASGMA,Month-to-month,"Electronic check",26,3559.72,Male,55,"Fiber Optic",Churned,Competitor
3669-LVWZB,Month-to-month,"Mailed check",5,305.95,Male,20,DSL,Churned,Price
6892-EZDTG,Month-to-month,"Electronic check",4,452.64,Female,55,"Fiber Optic",Churned,Price
9725-SCPZG,Month-to-month,"Electronic check",1,91.98,Male,47,"Fiber Optic",Churned,Price
5884-GCYMI,Month-to-month,"Mailed check",1,107.93,Male,62,"Fiber Optic",Churned,Competitor
7853-GVUDZ,Month-to-month,"Credit card (automatic)",1,23.24,Female,55,None,Churned,Price
3943-KDREE,Month-to-month,"Bank transfer (automatic)",26,2290.73,Female,48,"Fiber Optic",Churned,Other
9239-ZBZZV,Month-to-month,"Electronic check",6,305.1,Female,23,DSL,Churned,Competitor
4398-HSCJH,Month-to-month,"Electronic check",3,166.57,Female,57,DSL,Churned,Competitor
4430-UZIPO,Month-to-month,"Mailed check",3,108.7,Male,44,DSL,Churned,Competitor
4855-SNKMY,Month-to-month,"Electronic check",1,48.51,Female,31,DSL,Churned,Competitor
8008-HAWED,Month-to-month,"Electronic check",14,722.75,Male,38,Cable,Churned,Competitor
1502-XFCVR,"One year","Electronic check",58,7015.27,Female,57,"Fiber Optic",Churned,Competitor
9692-TUSXH,Month-to-month,"Electronic check",18,2383.3,Female,23,"Fiber Optic",Churned,Competitor
7912-SYRQT,Month-to-month,"Bank transfer (automatic)",7,685.88,Female,35,"Fiber Optic",Churned,Competitor
8292-TYSPY,Month-to-month,"Credit card (automatic)",19,1158.2,Male,55,Cable,Churned,Competitor
1867-BDVFH,Month-to-month,"Electronic check",11,934.74,Male,35,"Fiber Optic",Churned,Competitor
2359-QWQUL,"One year","Credit card (automatic)",39,4505.74,Female,35,"Fiber Optic",Churned,Competitor
9103-TCIHJ,Month-to-month,"Mailed check",15,1509.7,Female,60,DSL,Churned,Price
4140-WJAWW,Month-to-month,"Credit card (automatic)",5,138.9,Female,57,None,Churned,Price
6653-CBBOM,Month-to-month,"Electronic check",1,86.22,Female,57,"Fiber Optic",Churned,Dissatisfaction
6101-IMRMM,Month-to-month,"Mailed check",6,684.93,Male,53,"Fiber Optic",Churned,Dissatisfaction
8943-URTMR,Month-to-month,"Mailed check",2,210.78,Female,56,"Fiber Optic",Churned,Price
2955-PSXOE,Month-to-month,"Bank transfer (automatic)",1,63.72,Female,48,None,Churned,Price
7762-URZQH,"Two year","Credit card (automatic)",66,8533.01,Male,30,"Fiber Optic",Churned,Dissatisfaction
6907-NZZIJ,Month-to-month,"Electronic check",36,4126.2,Female,54,"Fiber Optic",Churned,Competitor
2911-UREFD,Month-to-month,"Electronic check",39,2184.35,Female,50,DSL,Churned,Dissatisfaction
3744-ZRRDZ,Month-to-month,"Electronic check",21,2120.81,Male,25,"Fiber Optic",Churned,Dissatisfaction
5673-TIYIB,Month-to-month,"Credit card (automatic)",2,77.15,Male,34,DSL,Churned,Other
1602-IJQQE,Month-to-month,"Electronic check",4,454.54,Female,42,"Fiber Optic",Churned,Competitor
4628-WQCQQ,"One year","Electronic check",35,3923.45,Male,37,"Fiber Optic",Churned,Competitor
1644-IRKSF,"One year","Electronic check",33,3785.16,Female,48,"Fiber Optic",Churned,Attitude
3705-PSNGL,"One year","Electronic check",45,2073.45,Male,49,None,Churned,Price
2606-RMDHZ,Month-to-month,"Credit card (automatic)",6,208.7,Male,47,DSL,Churned,Competitor
6861-OKBCE,Month-to-month,"Credit card (automatic)",11,585.01,Female,62,None,Churned,Attitude
9940-RHLFB,Month-to-month,"Electronic check",1,101.36,Female,53,"Fiber Optic",Churned,Competitor
1383-EZRWL,Month-to-month,"Mailed check",7,502.39,Female,62,None,Churned,Other
4759-TRPLW,Month-to-month,"Electronic check",1,100.03,Male,40,"Fiber Optic",Churned,Competitor
8563-IIOXK,"One year","Electronic check",7,584.28,Male,24,DSL,Churned,Competitor
2982-VPSGI,Month-to-month,"Electronic check",11,1361.27,Female,64,"Fiber Optic",Churned,Competitor
8199-ZLLSA,"One year","Bank transfer (automatic)",67,9322.37,Male,53,"Fiber Optic",Churned,Competitor
4625-EWPTF,Month-to-month,"Electronic check",8,226.45,Male,55,Cable,Churned,Competitor
5980-NOPLP,Month-to-month,"Electronic check",44,4858.66,Female,19,"Fiber Optic",Churned,Competitor
9874-QLCLH,Month-to-month,"Electronic check",17,1826.97,Female,38,"Fiber Optic",Churned,Competitor
6000-APYLU,Month-to-month,"Electronic check",9,896.16,Male,39,"Fiber Optic",Churned,Competitor
0947-IDHRQ,Month-to-month,"Mailed check",7,811.17,Female,21,"Fiber Optic",Churned,Competitor
9048-JVYVF,Month-to-month,"Electronic check",3,298.27,Male,48,Cable,Churned,Other
1902-XBTFB,Month-to-month,"Electronic check",22,2872.26,Male,39,"Fiber Optic",Churned,Dissatisfaction
2794-XIMMO,"One year","Electronic check",53,3184.25,Male,61,DSL,Churned,Price
8382-SHQEH,Month-to-month,"Electronic check",8,996.95,Female,58,"Fiber Optic",Churned,Price
2983-ZANRP,Month-to-month,"Bank transfer (automatic)",2,162.4,Female,27,"Fiber Optic",Churned,Competitor
7845-URHJN,Month-to-month,"Bank transfer (automatic)",8,247.05,Female,24,None,Churned,Price
3034-ZBEQN,"One year","Mailed check",48,1604.5,Female,31,DSL,Churned,Dissatisfaction
6614-YWYSC,"Two year","Bank transfer (automatic)",61,2669.29,Male,68,None,Stayed,
8628-MFKAX,"Two year","Credit card (automatic)",72,9339.05,Female,79,"Fiber Optic",Stayed,
3244-CQPHU,"Two year","Bank transfer (automatic)",72,8718.53,Female,77,"Fiber Optic",Stayed,
9050-QLROH,Month-to-month,"Credit card (automatic)",18,2111.87,Male,26,"Fiber Optic",Churned,Competitor
4550-EVXNY,Month-to-month,"Electronic check",1,118.89,Female,52,"Fiber Optic",Churned,Competitor
3982-XWFZQ,Month-to-month,"Electronic check",42,2628.34,Female,30,Cable,Churned,Competitor
2754-VDLTR,Month-to-month,"Electronic check",10,1286.7,Male,54,"Fiber Optic",Churned,Competitor
5122-CYFXA,Month-to-month,"Electronic check",3,361.07,Female,53,DSL,Joined,
6217-KDYWC,"Two year","Mailed check",57,1496.02,Male,58,None,Stayed,
4811-JBUVU,Month-to-month,"Credit card (automatic)",30,3682.25,Male,62,"Fiber Optic",Stayed,
9639-BUJXT,"One year","Mailed check",63,3539.58,Male,50,None,Stayed,
9833-TGFHX,"One year","Electronic check",42,4675.85,Male,62,"Fiber Optic",Stayed,
1910-FMXJM,Month-to-month,"Electronic check",36,4713.53,Female,59,"Fiber Optic",Stayed,
8905-IAZPF,"One year","Credit card (automatic)",69,9978.23,Female,32,"Fiber Optic",Stayed,
6169-PPETC,"Two year","Bank transfer (automatic)",35,2415.9,Male,42,None,Stayed,
7047-YXDMZ,Month-to-month,"Mailed check",21,1139.89,Male,59,None,Stayed,
1621-YNCJH,"Two year","Credit card (automatic)",36,4577.04,Female,54,"Fiber Optic",Stayed,
1170-SASML,Month-to-month,"Bank transfer (automatic)",69,8249.21,Female,33,"Fiber Optic",Stayed,
2171-UDMFD,Month-to-month,"Credit card (automatic)",32,1796.15,Male,22,None,Stayed,
7758-UJWYS,"Two year","Electronic check",34,1325.85,Male,31,DSL,Stayed,
8562-GHPPI,Month-to-month,"Credit card (automatic)",1,31.76,Female,50,None,Joined,
2065-MMKGR,"One year","Credit card (automatic)",29,3280.12,Female,47,DSL,Stayed,
8380-MQINP,"Two year","Mailed check",55,1253.95,Female,62,None,Stayed,
2828-SLQPF,Month-to-month,"Bank transfer (automatic)",19,1404.18,Male,53,DSL,Stayed,
2227-JRSJX,Month-to-month,"Bank transfer (automatic)",21,2084.92,Female,22,"Fiber Optic",Stayed,
4877-TSOFF,"One year","Bank transfer (automatic)",55,5153.05,Female,41,DSL,Stayed,
7404-JLKQG,Month-to-month,"Electronic check",3,306.35,Female,21,Cable,Joined,
4778-IZARL,"Two year","Credit card (automatic)",63,6906.04,Male,46,"Fiber Optic",Stayed,
5075-JSDKI,"Two year","Electronic check",59,3925.67,Female,64,None,Stayed,
6749-UTDVX,"Two year","Electronic check",72,8417.44,Male,64,"Fiber Optic",Stayed,
8779-YIQQA,"One year","Mailed check",21,728.1,Male,38,None,Stayed,
3936-QQFLL,Month-to-month,"Mailed check",2,43.24,Male,58,None,Joined,
0336-KXKFK,"Two year","Credit card (automatic)",72,4390.25,Male,43,DSL,Stayed,
3090-QFUVD,Month-to-month,"Credit card (automatic)",1,24.39,Female,48,None,Joined,
7353-YOWFP,"One year","Mailed check",7,406.28,Female,41,None,Stayed,
0708-LGSMF,Month-to-month,"Electronic check",13,1088.41,Male,56,DSL,Stayed,
0613-WUXUM,"Two year","Mailed check",70,4105.5,Female,38,None,Stayed,
5010-IPEAQ,"Two year","Credit card (automatic)",67,3623.95,Female,29,Cable,Stayed,
7921-BEPCI,"Two year","Bank transfer (automatic)",72,5174.36,Female,40,DSL,Stayed,
3078-ZKNTS,"Two year","Bank transfer (automatic)",13,319.24,Female,45,None,Stayed,
8775-ERLNB,Month-to-month,"Electronic check",1,92.14,Male,76,"Fiber Optic",Joined,
4223-WOZCM,Month-to-month,"Mailed check",2,183.04,Male,71,DSL,Joined,
